학교종류명,설립구분,학교명,영문학교명,남녀공학구분명,고등학교구분명,고등학교일반실업구분명,특수목적고등학교계열명,Longitude,Latitude,도로명주소,구주소,동
초등학교,공립,서울안천초등학교,Seoul Ancheon Elementary School,남여공학,,일반계,,126.8884707,37.4585983,서울특별시 금천구 한내로 69-16 안천초등학교,서울특별시 금천구 독산동 1090 안천초등학교,독산동
초등학교,공립,서울신흥초등학교,Seoul Sinheung Elementary School,남여공학,,일반계,,126.9086187,37.4596985,서울특별시 금천구 독산로36나길 21 신흥초등학교,서울특별시 금천구 시흥동 704-56 신흥초등학교,시흥동
초등학교,공립,서울신영초등학교,Seoul Sinyeong Elementary School,남여공학,,일반계,,126.8957688,37.5006343,서울특별시 영등포구 도신로4길 32 신영초등학교,서울특별시 영등포구 대림동 781 신영초등학교,대림동
초등학교,공립,서울신미림초등학교,Seoul Sinmirim Elementary School,남여공학,,일반계,,126.8797202,37.5067665,서울특별시 구로구 신도림로 26 신미림초등학교,서울특별시 구로구 신도림동 398-28 신미림초등학교,신도림동
초등학교,공립,서울신도림초등학교,Seoul Sindorim Elementary School,남여공학,,일반계,,126.8831886,37.5123003,서울특별시 구로구 신도림로19길 44 서울신도림초등학교,서울특별시 구로구 신도림동 300-6 서울신도림초등학교,신도림동
초등학교,공립,서울신대림초등학교,Seoul Sindaerim Elementary School,남여공학,,일반계,,126.9057395,37.4922122,서울특별시 영등포구 대림로8길 25 서울신대림초등학교,서울특별시 영등포구 대림동 968 서울신대림초등학교,대림동
초등학교,공립,서울신구로초등학교,Seoul Sin-guro Elementary School,남여공학,,일반계,,126.88889,37.4993045,서울특별시 구로구 가마산로27길 69 서울신구로초등학교,서울특별시 구로구 구로동 105 서울신구로초등학교,구로동
초등학교,공립,서울시흥초등학교,Seoul Siheung Elementary School,남여공학,,일반계,,126.9049358,37.4551006,서울특별시 금천구 독산로23길 26 서울시흥초등학교,서울특별시 금천구 시흥동 841-19 서울시흥초등학교,시흥동
초등학교,공립,서울세곡초등학교,Seoul Segok Elementary School,남여공학,,일반계,,126.8491281,37.5050972,서울특별시 구로구 고척로33길 34 세곡초등학교,서울특별시 구로구 고척동 253-129 세곡초등학교,고척동
초등학교,공립,서울선유초등학교,Seoul SeonYu Elementary School,남여공학,,해당없음,,126.8927682,37.5329048,서울특별시 영등포구 선유로43가길 14 서울선유초등학교,서울특별시 영등포구 양평동3가 91 서울선유초등학교,양평동3가
